created_at,text,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-08T10:23:28.000Z,"Who's seeking a remote job that pays in dollars?
I got you! 
Indicate your interest in the comments 🙋🙋‍♀️",['1777281099065929864'],1777281099065929864,9,108,102,0,7,16822
2024-04-08T10:23:18.000Z,"RT @Tsinformation1: Job Vacancy 🚨 Work from Home

Apply if you’re a UI/UX Designer or share this with someone you know.

Wordwall Career is…",['1777281054493069318'],1777281054493069318,18,0,0,0,0,0
2024-04-08T10:23:15.000Z,"RT @AbrahamOkah2: New Zealand🇳🇿 Free Work CV Samples/Format and Cover Letter from the government website.

Create and download yours
Rememb…",['1777281043722072373'],1777281043722072373,71,0,0,0,0,0
2024-04-08T08:02:36.000Z,"Do you want to learn all of these skills for FREE?

1. Email Marketing
2. Facebook Ads
3. Google Ads
4. Seo 
5. WordPress
6. Digital Marketing
7. Content Writing
8. Graphic Design
9. Video Editing
10. Web Development
11. Social Media Marketing
https://t.co/FXQBLwwc3Q",['1777245646178689211'],1777245646178689211,65,5,124,0,159,14036
2024-04-08T06:32:48.000Z,"If you’re interested in LEARNING all of these for FREE:

Business analytics
Computer Science
Data visualization
Project mgt cert
Microsoft excel
Data analytics
Data Science
Product mgt
Resume/CV
Interview
Web Dev
Big data
UI/UX
SQL

Check this Google drive link:… https://t.co/kFbJq0HIuy",['1777223046224302200'],1777223046224302200,95,2,206,1,345,28983
2024-04-08T06:31:57.000Z,"RT @Jediah79056137: Glyph airdrop is live!! 🤑🤑🤑 
📌 Don't miss out on this airdrop!
📌 it's only available until May 9th.

 How to participat…",['1777222835758342325'],1777222835758342325,6,0,0,0,0,0
2024-04-08T05:35:42.000Z,"You will be called for a job interview this week and you will get the job.

Claim It ❤️",['1777208679118393659'],1777208679118393659,110,44,1076,6,34,26439
2024-04-08T01:49:52.000Z,"Who's Awake???

Like This Post ❤️",['1777151845657354374'],1777151845657354374,5,4,70,0,0,6886
2024-04-07T21:36:23.000Z,Reminder https://t.co/WJNYRwZMD6,['1777088054072672360'],1777088054072672360,5,2,51,0,2,4131
2024-04-07T19:53:17.000Z,https://t.co/mX1mWsJIgU,['1777062109412479026'],1777062109412479026,1,0,7,0,1,1481
2024-04-07T19:53:13.000Z,https://t.co/NCtwFFrZa6,['1777062090785558629'],1777062090785558629,3,1,12,0,8,1602
2024-04-07T19:53:06.000Z,Resume VS CV: Know the difference! https://t.co/KQZY5wAK54,['1777062060162994546'],1777062060162994546,37,2,105,1,164,13860
2024-04-07T19:44:52.000Z,"RT @JobsIntelRegion: 📢📢 Lead Web Engineer Opportunity that pays in Dollars 💰💰

Location: Remote (Worldwide 🌎)

Salary: $140,000/year

About…",['1777059989934207313'],1777059989934207313,4,0,0,0,0,0
2024-04-07T19:44:48.000Z,"RT @JobsIntelRegion: 📢📢 Associate Director of Business Development At 10up 📢📢

Location: Remote (worldwide 🌎)

Salary: $145,000/year 

Abou…",['1777059974331420927'],1777059974331420927,9,0,0,0,0,0
2024-04-07T19:44:43.000Z,"RT @Tsinformation1: Job vacancy 🚨 

Wiral Metropolitan Borough Council in the UK 🇬🇧 is currently recruiting social workers for children.

W…",['1777059952122646906'],1777059952122646906,20,0,0,0,0,0
2024-04-07T17:11:50.000Z,"Urgent Hiring!!

Operations and Onboarding Associate Job at Craftmerce

Job Location: Lagos (Remote)
Employment Type: Full-time

Salary: N100,000 monthly

Requirements
- Bachelor's Degree
- 1-3 years of experience in operations management, customer service, or a related role.… https://t.co/WNAoIJTI54",['1777021479068041719'],1777021479068041719,10,0,20,0,9,6078
2024-04-07T16:39:27.000Z,"Urgent Hiring!!

Account Officer Job at Baldon Clothiers Limited

Job Location: Abuja (FCT)
Work Level: Entry Level (Trainee)

Requirements
- Candidate must have a https://t.co/oRz2SEqaLq / HND qualification in Accounting, Finances, Sciences or related.
- Candidate should posses… https://t.co/i8j2wkKeOb",['1777013327551508737'],1777013327551508737,4,0,14,0,2,4765
2024-04-07T15:33:29.000Z,"Urgent Hiring!!

Land Surveyor at Next Gear Homes Limited

Location: Abuja
Employment Type: Full-time

Salary: N100,000 – N150,000 Monthly

Requirements
- Must be an experienced land surveyor

If you can’t apply, Please share, someone may need it on your timelines

Apply ⤵️… https://t.co/q6T9JAmhG2",['1776996726617874476'],1776996726617874476,7,0,25,0,0,4352
2024-04-07T14:26:54.000Z,"Urgent Hiring!!

Area Sales Coordinator at Reliable Steel &amp; Plastic Industry Limited

Location: Lagos
Employment Type: Full-time

Salay: N150,000 – N200,000 / month

Requirements
- https://t.co/oRz2SEqaLq / BA in Business Administration or relevant field; certification in sales… https://t.co/tVkZDhxJaz",['1776979972378210356'],1776979972378210356,9,0,17,0,0,4797
2024-04-07T13:50:59.000Z,"Urgent Hiring!!

Accountant at Haventis Pharmaceutical Limited

Location: Maryland, Lagos
Employment Type: Full-time

Salary: N100,000 – N120,000 monthly.

Requirements
- Minimum of Bachelor’s Degree
- Applicant should have basic double-entry skills

If you can’t apply, Please… https://t.co/WlAWv1XkoN",['1776970934580130198'],1776970934580130198,11,0,17,0,1,5001
2024-04-07T13:48:21.000Z,"Urgent Hiring!!

Sales Marketer at the Advancement Place

Location: Abeokuta, Ogun
Employment Type: Full-time

Requirements
- Candidates should possess a Bachelor’s degree in Marketing / Sales
- Candidates should have 3 years experience.

If you can’t apply, Please share, someone… https://t.co/EOW7Z1bMET",['1776970270567202946'],1776970270567202946,3,0,7,0,1,2264
2024-04-07T13:45:55.000Z,"Urgent Hiring!!

Factory Operations Manager Job at H &amp; Y Furniture Manufacturers

Job Location: Lagos
Employment Type: Full-time

Salary: N400,000 - N500,000 monthly

Requirements
- Good First Degree in Engineering or relevant discipline
- Minimum of fifteen (15) years of… https://t.co/oB0npZy9Kp",['1776969659553636660'],1776969659553636660,5,0,8,0,1,2660
