created_at,conversation_id,text,edit_history_tweet_ids,lang,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-06T08:00:18.000Z,2041063435245437150,"It’s easy to make delicious salads at home with salad spinners, herb keepers, dressing shakers and more. Prices start at just $10 at Amazon. https://t.co/wXcePJ9TZ1",['2041063435245437150'],en,2041063435245437150,1,0,2,0,1,453,EatingWell
2026-04-06T06:00:15.000Z,2041033223627538761,"Processed meat raises colon cancer risk, yet 40 percent of Americans are unaware. Learn about the dangers, poll results, and how to make informed choices. https://t.co/iibuK3Jl4D",['2041033223627538761'],en,2041033223627538761,1,0,1,0,1,568,EatingWell
2026-04-06T04:00:19.000Z,2041003038589022614,"These dinners are low-calorie and high in protein and/or fiber to support weight loss. Plus, they require 30 minutes of active time or less. https://t.co/HYXI9KYObV",['2041003038589022614'],en,2041003038589022614,1,0,2,0,5,521,EatingWell
2026-04-06T02:00:20.000Z,2040972846764089654,"Whether you prefer chocolate-covered fruit or a nutty energy ball, these healthy recipes are the perfect way to have snack time taste like dessert. https://t.co/cLeBHMXhUi",['2040972846764089654'],en,2040972846764089654,0,0,1,0,1,681,EatingWell
2026-04-06T00:00:19.000Z,2040942644335903157,"Some think that rinsing pasta is best to avoid clumping, but Barilla's executive chef disagrees. https://t.co/wVFDzdIgn6",['2040942644335903157'],en,2040942644335903157,0,0,1,0,1,770,EatingWell
2026-04-05T22:00:28.000Z,2040912481837633553,"If you have type 2 diabetes, you might be deficient in several micronutrients. Find out which ones and what you can do to get sufficient amounts. https://t.co/Yj0bZCdJVa",['2040912481837633553'],en,2040912481837633553,0,0,1,0,3,668,EatingWell
2026-04-05T20:00:27.000Z,2040882277928812877,"Ross Mathews shares his high-fiber, one-pan chicken thighs recipe with white beans and kale. Discover easy stainless steel cooking tips and nutrition benefits. https://t.co/kApba5Q2ij",['2040882277928812877'],en,2040882277928812877,0,0,3,0,4,678,EatingWell
2026-04-05T18:00:24.000Z,2040852067099582800,These anti-inflammatory breakfast recipes have at least 6 grams of fiber and include probiotic and/or prebiotic foods to help restore gut health after eating too much sugar. https://t.co/wfrJojcwl8,['2040852067099582800'],en,2040852067099582800,0,0,3,0,5,659,EatingWell
2026-04-05T16:00:18.000Z,2040821843490205748,Lululemon’s leggings are always a favorite—even fitness trainers love them! We asked three trainers which leggings they own and wear and they all said the same pair. Read what they love about the Wunder Train tights. https://t.co/jfDWf5j4Gf,['2040821843490205748'],en,2040821843490205748,0,0,1,0,0,557,EatingWell
2026-04-05T14:00:30.000Z,2040791692886917268,A new study finds that cutting sweet foods may not change your preference for sweetness or reduce calorie intake. Learn what the research means for your health. https://t.co/icUV6s13eO,['2040791692886917268'],en,2040791692886917268,1,0,2,0,1,648,EatingWell
