edit_history_tweet_ids,text,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
['1766954762652549629'],It's the Kenergy for me. #Oscars https://t.co/CKrxFOSCnQ https://t.co/Yl9TXLW5Bv,2024-03-10T22:30:18.000Z,1766954762652549629,239,17,1729,39,28,98803
['1766943264580546851'],An #AwkwardBlackGirl no more. 💛 #Oscars https://t.co/36e9ZqY4ZS https://t.co/hpys5Mz7Hs,2024-03-10T21:44:37.000Z,1766943264580546851,28,5,136,5,3,38086
['1766924006509117859'],"The unbelievable, indescribable... Vanessa Hudgens, BABY V!! #Oscars https://t.co/CVObnfxCzP https://t.co/C3wud1jlKE",2024-03-10T20:28:05.000Z,1766924006509117859,31,2,167,2,6,43535
['1766841444852007106'],"The biggest night in Hollywood is finally here! Catch up on all the nominations here, and don't miss the #Oscars at 7 p.m. ET/4 p.m. PST on ABC. https://t.co/VlVdiZajBH https://t.co/EgqDWuhm0K",2024-03-10T15:00:01.000Z,1766841444852007106,31,4,163,0,4,35907
['1766675382965555592'],Hiiii besties 🫶 #SXSW #IMDbStudio https://t.co/o9kUhXJMds https://t.co/iqkOUm12yQ,2024-03-10T04:00:09.000Z,1766675382965555592,19,1,86,0,3,40888
['1766630170306257258'],"At #SXSW 2024, #JakeGyllenhaal, @TheNotoriousMMA, and the cast of #RoadHouse reflect on how the remake pays homage to the original film, and #LukasGage teaches IMDb how to properly throw a punch. https://t.co/uhzM7dacYT https://t.co/TIrUPZFC96",2024-03-10T01:00:29.000Z,1766630170306257258,29,4,125,2,9,33553
['1766614985709412483'],"No notes. #Y2K #SXSW #IMDbStudio 

📸: Corey Nickols (@unicornfightclub)/Getty Images for IMDb https://t.co/0DDERlIx4K",2024-03-10T00:00:09.000Z,1766614985709412483,24,8,184,0,8,54092
['1766313104722289128'],"Walton Goggins and Aaron Moten stopped by the #IMDbStudio at #SXSW to share what it was like to get into character for the first time for their new @primevideo series, #Fallout. https://t.co/ad986PgQsn https://t.co/AqznJm1hhm",2024-03-09T04:00:35.000Z,1766313104722289128,17,4,85,0,3,30504
['1766283032854458791'],"#Damsel star #MillieBobbyBrown shares what she’s known for both on and off set, the toughest word for her to say in an American accent, and the somewhat toxic relationship she has with her dog. 😂 https://t.co/2VxTcxDJlG https://t.co/iTYazt2JOr",2024-03-09T02:01:05.000Z,1766283032854458791,27,6,110,0,10,38014
['1766246087675851008'],"There's a #Fallout happening in Austin, TX... Here's a look at Day 1 of the #IMDbStudio at #SXSW 2024 🤠 https://t.co/ehe1aHM6vx

📸: Corey Nickols/Getty Images for IMDb https://t.co/PunYarbjaS",2024-03-08T23:34:17.000Z,1766246087675851008,11,3,73,1,1,31870
['1766192305331986860'],"From her start on Broadway to her recent Oscar nomination for #TheHoldovers,’ Da’Vine Joy Randolph is leaving her mark on Hollywood. https://t.co/gep62CeZhT https://t.co/2vye3xEvHX",2024-03-08T20:00:34.000Z,1766192305331986860,26,4,121,2,0,25755
['1766131780698976367'],The category is: women directors 🎥  See the full list 👉 https://t.co/jpmUy8UZvv #InternationalWomensDay https://t.co/ChiLlZcJIo,2024-03-08T16:00:04.000Z,1766131780698976367,43,5,144,3,4,33218
['1765920378382086225'],"#ChrisEvans recently revealed that he is a big #fantasy fan and would like to take up a bow and arrow. 🏹 Elf, bard, barbarian—what do you think? https://t.co/Vvyax19feq https://t.co/PixHxbdxCg",2024-03-08T02:00:02.000Z,1765920378382086225,51,8,195,0,9,27096
['1765890179745595829'],same same but different https://t.co/l8VqB9IDb0,2024-03-08T00:00:02.000Z,1765890179745595829,33,9,407,7,15,68485
