created_at,conversation_id,text,lang,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-10T03:19:29.000Z,2042442315071979549,The space toilet is one of the most essential pieces of equipment on board. The crew has had to troubleshoot a few issues to use the Universal Waste Management System. So what exactly is the issue? Find out in this explainer video. https://t.co/cfvgyGyEUD,en,2042442315071979549,['2042442315071979549'],1544,414,11141,98,1671,1239961,,NASA
2026-04-10T00:42:05.000Z,2042402702798266791,"They're halfway home. 
 
The Artemis II astronauts have hit the ""halfway"" mark between the Moon and the Earth. They will splash down in the Pacific Ocean around 8:07 pm ET on Friday, April 10 (0007 UTC on Saturday, April 11), off the coast of San Diego. https://t.co/CQmOuDTVGh",en,2042402702798266791,['2042402702798266791'],24161,2329,165528,1067,4940,5419454,,NASA
2026-04-09T21:05:00.000Z,2042348075037954173,"Our Artemis II astronauts are headed back to Earth after their test flight around the Moon.

Listen to the latest episode of our Curious Universe podcast to learn how we'll bring the crew home: https://t.co/5c0wToicQW https://t.co/OKlTEeLAS1",en,2042348075037954173,['2042348075037954173'],1245,296,7795,36,346,828435,,NASA
2026-04-09T19:30:30.000Z,2042324292528939048,LIVE: Agency leaders answer media questions and provide updates on our Artemis II mission around the Moon. https://t.co/8SWdRAQlJF,en,2042324292528939048,['2042324292528939048'],772,205,3980,24,180,566666,,NASA
2026-04-09T19:01:23.000Z,2042316964362698815,"The Artemis II crew had the rare chance to see a solar eclipse from space. 🚀🌘☀️

This video stitches together views from Orion's solar array wing cameras throughout the eclipse, showing the Sun as it disappears behind the Moon, revealing a glowing halo around the lunar disk. https://t.co/d3Z64hVbef",en,2042316964362698815,['2042316964362698815'],7834,754,40257,157,3052,1515113,,NASA
2026-04-09T16:15:00.000Z,2042275094899106149,"New perspectives of our home planet. 

As Artemis II flew around the Moon on April 6, the crew captured these images of a crescent Earth from hundreds of thousands of miles away. See the latest photos and videos: https://t.co/rzM1P0QbOl https://t.co/hzxVf8Z7Rh",en,2042275094899106149,['2042275094899106149'],10897,787,65200,379,4056,1696691,,NASA
2026-04-09T15:48:30.000Z,2042268423770521679,"Charlie Crockett's ""Lonesome Drifter"" marks the beginning of flight day 9 for the Artemis II astronauts.
 
Enjoy the Moon tunes on our Wake-Up Songs Spotify playlist: https://t.co/2fcXhC5iEN https://t.co/oRM3I9oGyq",en,2042268423770521679,['2042268423770521679'],1705,296,12197,150,704,1382359,,NASA
2026-04-09T14:59:50.000Z,2042256177241747563,"Artemis II is locked in 🔒 

As they flew around the Moon, the Artemis II crew took turns capturing science data and taking photos out of the Orion spacecraft window to share with their team back on Earth. https://t.co/7Li6XTn9B0",en,2042256177241747563,['2042256177241747563'],5585,831,51107,131,1609,1624033,,NASA
2026-04-09T07:41:08.000Z,2042145772355911773,"There's a lot to process on Day 8 of the @NASAArtemis II mission. With Earth in view from Orion's windows, the astronauts are packing up and reflecting on their lunar journey. https://t.co/iTFuMFxJPX",en,2042145772355911773,['2042145772355911773'],4753,872,37507,166,1455,1834747,,NASA
2026-04-09T02:46:13.000Z,2042071557938323456,LIVE: Artemis II astronauts answer media questions as they continue their journey toward Earth following their record-breaking lunar flyby. https://t.co/iAN74RMaRk,en,2042071557938323456,['2042071557938323456'],2728,668,16056,148,962,1098837,,NASA
2026-04-08T22:46:19.000Z,2042011183801069751,"But wait, there's more!
These newly released photos show off striking details on the far side of the Moon, like craters of various sizes and basins. See new photos here: https://t.co/yBzg59O7yp https://t.co/fYCAG3kFj6",en,2042011183801069751,['2042011183801069751'],10843,1180,74214,300,3955,2503023,,NASA
2026-04-08T21:00:35.000Z,2041984573672694141,LIVE: Agency leaders answer media questions and provide updates on our Artemis II mission around the Moon. https://t.co/ziFIHXMF9t,en,2041984573672694141,['2041984573672694141'],743,212,4045,33,161,647264,,NASA
2026-04-08T16:25:01.000Z,2041915225776009742,"Experience the magic of our Moon mission wherever you go! ✨

Download free, mobile wallpapers and bring your device into the new era of exploration: https://t.co/494ZyUBtve https://t.co/9kRxnhoZu6",en,2041915225776009742,['2041915225776009742'],15999,1818,105767,665,13334,3629022,,NASA
2026-04-08T15:54:25.000Z,2041863591255593406,"Artemis II is just a couple of days away from splashdown—and as Earth grows larger in the mission's sights, the crew woke up this morning to ""Under Pressure,"" by Queen and David Bowie, and greetings from our colleagues at @csa_asc. https://t.co/9IOHJQHEzi",en,2041907525939868065,['2041907525939868065'],787,121,6095,124,364,752089,11348282,NASA
2026-04-08T14:40:18.000Z,2041888871550468103,"It's Rise's time to shine! 🌟

What’s it like to be a zero gravity indicator flying around the Moon with your astronaut besties? Find out as our favorite Moon Mascot takes over the @NASAArtemis account today. Follow along, and ask questions to learn about Rise's important role! https://t.co/jD5y9Qbdi9",en,2041888871550468103,['2041888871550468103'],2611,764,24027,179,700,883357,,NASA
2026-04-08T12:59:50.000Z,2041863591255593406,"Rise and shine, space fans!

The official Artemis II wake‑up song playlist is here: https://t.co/2fcXhC5iEN

Stay tuned to find out the crew’s picks for the rest of the mission. https://t.co/1UxlQbM0A8",en,2041863591255593406,['2041863591255593406'],8036,1527,69248,867,5841,9937391,,NASA
2026-04-08T07:24:36.000Z,2041779226894848319,"“You can see the surface of the Moon…we just went sci-fi.”

On flight day seven, images from our @NASAArtemis II crew amazed, turning science fiction to reality. From the lunar far side to a solar eclipse from the Moon, the views are EVERYTHING. No pressure to pick a favorite. https://t.co/sHGfknqwW1",en,2041779226894848319,"['2041778805027598765', '2041779226894848319']",17193,1813,92640,675,7487,3678170,,NASA
2026-04-08T02:38:17.000Z,2041707173428748594,"Sky full of stars.

Following a successful lunar flyby, the Artemis II astronauts captured this breathtaking photo of our galaxy, the Milky Way, on April 7, 2026. https://t.co/pzqcLZNB71",en,2041707173428748594,['2041707173428748594'],66554,4328,361535,3656,19323,58646008,,NASA
2026-04-08T01:31:37.000Z,2041690396586090592,"It's not just a phase 🌕 

Artemis II astronauts captured these views of the Moon as the Orion spacecraft flew around the far side of the Moon on April 6, 2026. https://t.co/lT7245Gp28",en,2041690396586090592,['2041690396586090592'],18386,1207,89591,799,8060,3751052,,NASA
2026-04-07T23:57:00.000Z,2041666583051837813,"Do you have rocket fever? We have something for that.

Digital creators and social media storytellers are invited to register to attend the rollout of the Artemis III core stage from NASA's Michoud Assembly Facility in New Orleans later this month. Registration is open from April https://t.co/fJwP00uhEi",en,2041666583051837813,['2041666583051837813'],1016,289,8192,71,382,897725,,NASA
2026-04-07T21:56:49.000Z,2041636338030477712,"Strange place ✅
New perspective ✅✅✅ https://t.co/nHl3hfAL8L",en,2041636338030477712,['2041636338030477712'],6338,343,80995,96,2829,2882479,,NASA
2026-04-07T20:46:49.000Z,2041618721571995662,LIVE: Agency leaders answer media questions and provide updates on our Artemis II mission around the Moon. https://t.co/XyCHj6dtwo,en,2041618721571995662,['2041618721571995662'],840,389,4606,71,216,788215,,NASA
2026-04-07T16:41:42.000Z,2041557036274475228,"Hello, Moon. It’s great to be back.
 
Here’s a taste of what the Artemis II astronauts photographed during their flight around the Moon. Check out more photos from the mission: https://t.co/rzM1P0QbOl https://t.co/6jWINHkDLh",en,2041557036274475228,['2041557036274475228'],173970,10030,809964,9013,63546,28408494,,NASA
