id,lang,edit_history_tweet_ids,text,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
1997667497344905448,en,['1997667497344905448'],"A recent paper explores the limits between muscle fiber size and aerobic capacity. What does it mean for achieving your training goals? Full article linked below.

https://t.co/VQ7DzhjYvM",2025-12-07T14:00:20.000Z,1997667497344905448,42,12,420,5,276,111689,PeterAttiaMD
1995855776024330428,en,['1995855776024330428'],"How androgen receptors impact testosterone effect | Carole Hooven, Ph.D. (@hoovlet )

This clip is from episode # 374 of The Drive which was released on 12/1/25.

In the full episode, we cover:

-A stark contrast of male social bonding compared to females, and evolutionary https://t.co/x553Ydvy1S",2025-12-02T14:01:12.000Z,1995855776024330428,24,15,357,3,217,43086,PeterAttiaMD
1995493284660052342,en,['1995493284660052342'],"In episode #374 of The Drive, I sit down with Carole Hooven, Ph.D., (@hoovlet) a human evolutionary biologist whose research centers on testosterone, sex differences, and behavior.

https://t.co/KSuNsKM4MU",2025-12-01T14:00:48.000Z,1995493284660052342,8,8,96,0,45,26657,PeterAttiaMD
1995130783695081652,en,['1995130783695081652'],"This week, I’m sharing another collection of oldies-but-goodies—highlighting past newsletters on alcohol and cardiovascular health, aging bursts, exercise duration, hormone therapy, and the “cholesterol paradox”. Full article linked below.

https://t.co/EWKLuDcVRT",2025-11-30T14:00:21.000Z,1995130783695081652,15,7,293,0,222,73751,PeterAttiaMD
1993862491122680128,en,['1993862491122680128'],"The VO₂ max you need to stay sexually active | Sally Greenwald, M.D.

This clip is from episode # 371 of The Drive which was released on 11/3/25.

In the full episode, we cover:

-The physiology of the female orgasm, sexual comfort and satisfaction, and the disparity between men https://t.co/7PMiwAVsDq",2025-11-27T02:00:36.000Z,1993862491122680128,56,29,952,8,1431,230866,PeterAttiaMD
1992956514873585733,en,['1992956514873585733'],"This week we're rereleasing episode #288 with Walter Green, a remarkable philanthropist, mentor, author of This Is the Moment!, and founder of the impactful “Say It Now” movement. 

https://t.co/b52fk1IRX4",2025-11-24T14:00:35.000Z,1992956514873585733,6,5,62,1,15,24627,PeterAttiaMD
1992594043230880091,en,['1992594043230880091'],"Revising our earlier interpretation of SELECT trial data in light of new analyses. Full article linked below.

https://t.co/HPvopJzkDj",2025-11-23T14:00:15.000Z,1992594043230880091,10,17,141,1,68,63905,PeterAttiaMD
1990419773335675244,en,['1990419773335675244'],"In episode #373 of The Drive, I sit down with Antonio Bianco, M.D., Ph.D. (@bianco_lab), a world-renowned physician-scientist and expert in thyroid physiology and metabolism. Antonio explores the complex biology of thyroid hormone production, conversion, and regulation.",2025-11-17T14:00:28.000Z,1990419773335675244,16,8,178,2,87,34027,PeterAttiaMD
1990057336283558036,en,['1990057336283558036'],"The FDA has announced it will remove health warnings on HRT products, following the recommendations of an expert panel.

https://t.co/HMEOL9NuHx",2025-11-16T14:00:17.000Z,1990057336283558036,24,25,277,1,32,45214,PeterAttiaMD
1988245790473474306,en,['1988245790473474306'],"Can fiber help prevent colon cancer? | Peter Attia, M.D.

This clip is from “Ask Me Anything” episode # 77 (Ep. # 372) of The Drive which was released on 11/10/25.

In the full episode, I cover:

-The true effect sizes for fiber on weight loss, glycemic control, and LDL https://t.co/wkh9wyOWzJ",2025-11-11T14:01:50.000Z,1988245790473474306,31,24,377,4,242,64542,PeterAttiaMD
