created_at,edit_history_tweet_ids,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-03-27T21:00:20.000Z,['1773092715879596469'],1773092715879596469,Bucket list item: See the Blue Mountains in Australia. https://t.co/V17mdSNpwx https://t.co/2kt8H7Yumj,9,11,36,0,0,8004
2024-03-27T19:03:05.000Z,['1773063210070954230'],1773063210070954230,"👋 Checking in from the #1 food destination in the world 📍Hanoi 

More top food destinations: https://t.co/eASHnxvazJ https://t.co/H8Z9kSdzS2",5,6,26,0,1,7085
2024-03-27T17:30:05.000Z,['1773039805724508581'],1773039805724508581,What’s the passport stamp you’re most proud of?,3,16,16,4,0,16886
2024-03-27T16:00:32.000Z,['1773017270014349772'],1773017270014349772,6 must-visit cities in France: https://t.co/lCXhKW91Ni https://t.co/6KdIu4ZpZk,9,6,21,0,3,5628
2024-03-27T12:16:04.000Z,['1772960780708708695'],1772960780708708695,"@qodunpob Hi there! We appreciate you bringing this matter to our attention and are sorry for any inconveniences this may have caused you. For best assistance, please DM us the email address associated with the account. We're here to help! https://t.co/hhUXi3qGfh",0,0,1,0,0,41
2024-03-26T21:00:15.000Z,['1772730305515807212'],1772730305515807212,POV: You go to Hanoi just to see the temples. https://t.co/YPzNjtl43y https://t.co/6AnyqgSNe2,14,2,30,2,2,8268
2024-03-26T19:00:15.000Z,['1772700106485084349'],1772700106485084349,"You look like you could use a relaxing weekend in Sea Ranch, California. 😎 https://t.co/bix4QzC1S6 https://t.co/nogOmljrBF",7,7,29,1,0,6733
2024-03-26T17:30:08.000Z,['1772677429607170378'],1772677429607170378,What travel experience is on the top of your bucket list? 👇 https://t.co/KrHHSum6fj https://t.co/0esLJhsib9,13,4,22,0,1,6819
2024-03-26T16:00:27.000Z,['1772654858140623115'],1772654858140623115,3 perfect days in Cairns: https://t.co/xscFaSwSHq https://t.co/Hj9j7WR8V0,6,0,10,0,1,5791
2024-03-25T21:00:09.000Z,['1772367892492722566'],1772367892492722566,"Bucket list item: See the northern lights in Iceland.

Here's how: https://t.co/Ixrt03uuyT https://t.co/RxoOwEN6Jj",18,8,54,1,3,10100
2024-03-25T19:00:11.000Z,['1772337703947772075'],1772337703947772075,3 perfect days in Bogotá: https://t.co/CwkcXTknUz https://t.co/3hsbLbHN8b,3,0,8,0,1,6354
2024-03-25T18:45:01.000Z,['1772333885826748833'],1772333885826748833,"Traveling may not fix all of my problems, but I would rather deal with my problems in the South of France.",4,2,33,3,2,13235
2024-03-25T16:35:07.000Z,['1772301195274506695'],1772301195274506695,"Hello, this is your reminder that May and June are the perfect times to visit St. Lucia. Plan that trip: https://t.co/kBjpXgPsd5 https://t.co/JRYaCM9DIF",12,1,30,0,0,6815
2024-03-25T03:03:48.000Z,['1772097023308599678'],1772097023308599678,"@Annief54 Hi Anne, we appreciate your contribution to our site! At this time, the ability to edit reviews is not available, and we apologize for any inconvenience. However, you are more than welcome to remove your current review and resubmit it with any corrections!",0,0,0,0,0,40
2024-03-24T17:00:13.000Z,['1771945126350213301'],1771945126350213301,"Travel the world just to see tulips 🌷 📍 Skagit Valley, WA https://t.co/3Rm0BkKMt8 https://t.co/Z4xLoAVg1F",7,0,37,0,0,9106
2024-03-24T14:30:07.000Z,['1771907351399870643'],1771907351399870643,"A summer spent in Procida, Italy feels like the kind of summer for me. 

7 European islands to visit: https://t.co/lKuwzRjsxA https://t.co/rvEWTIb5vE",13,7,49,0,4,9789
2024-03-24T07:02:22.000Z,['1771794670344913049'],1771794670344913049,"@amyxww Hi Amy, we are sorry to hear this. Could you please DM us the email address that associated with your Tripadvisor account? We will be more than happy to assist you.
https://t.co/cmoPqUMg0x",0,0,0,0,0,22
2024-03-23T21:00:10.000Z,['1771643121417302106'],1771643121417302106,"A summer trip to the coasts of Portugal will really renew your spirit. 

6 towns to see this summer: https://t.co/BvegsBtSMj https://t.co/rKynSUozx3",15,8,38,0,6,11276
2024-03-23T20:35:37.000Z,['1771636943777898512'],1771636943777898512,@gncgrsylmz Hi there! We have sent you a DM for further assistance. Thanks!,0,1,1,0,0,24
2024-03-23T14:30:09.000Z,['1771544969699868917'],1771544969699868917,Name a better feeling than setting your OOO message. We'll wait.,1,5,17,0,0,12154
2024-03-23T02:50:57.000Z,['1771369012401717419'],1771369012401717419,"@D_Berozgaar Hi there! We are sorry to hear this. We have checked but unable to confirm the reported issue. Can you please try basic troubleshooting and ensure to have downloaded the most updated app version. If issue persists, please DM us with the error screenshot. https://t.co/cmoPqUMg0x",0,0,0,0,0,13
2024-03-22T18:00:14.000Z,['1771235451002630243'],1771235451002630243,POV: You go to Ireland just to see the cliffs. https://t.co/x7fQMZmuKK https://t.co/ebz5y6RCQy,19,2,28,0,0,7168
2024-03-22T15:00:35.000Z,['1771190240922738862'],1771190240922738862,"OK spring just arrived but we're already declaring it the summer of stargazing.

9 ideas: https://t.co/MClfN4JiMM https://t.co/w0P1Mfc5pe",7,0,16,0,0,5606
2024-03-22T13:00:29.000Z,['1771160016805830914'],1771160016805830914,Happy spring 💐 Here's your reminder to watch the Texas wildflowers bloom: https://t.co/Aq5gekjPcL https://t.co/u65XtiMFXA,4,7,17,0,0,6168
2024-03-22T02:59:29.000Z,['1771008770027430397'],1771008770027430397,"@Big_Al_137 Hi there, thank you for reaching out to us. We're sorry to learn of what happened and we'd like to look into the issue further. Could you please DM us here (https://t.co/cmoPqUMg0x) and share the details of the incident, with related screenshots and your email address? Thanks.",0,0,0,0,0,6
2024-03-21T21:00:14.000Z,['1770918361938948493'],1770918361938948493,👋 Checking in from the best beach in Mexico 📍Balandra Beach https://t.co/ChsZ9n8pmG https://t.co/HvX2v6adap,17,6,33,0,0,7456
2024-03-21T19:00:16.000Z,['1770888173381468245'],1770888173381468245,"""Why traveling alone makes me a better parent"": https://t.co/9fHGbJVr2D https://t.co/i80QWNBiez",4,0,8,0,0,6323
2024-03-21T16:00:26.000Z,['1770842915759075615'],1770842915759075615,Your sign to spend a long weekend in LA: https://t.co/dp2pEodY5U https://t.co/6zHZyWMdak,26,7,33,0,0,5895
2024-03-20T19:00:23.000Z,['1770525812598431875'],1770525812598431875,"Bucket list item: Watch spring bloom in Amsterdam.

7-day itinerary: https://t.co/H72v8ttBdu https://t.co/LmXmgHxVTv",10,9,40,0,0,7845
2024-03-20T17:17:06.000Z,['1770499821243146260'],1770499821243146260,7 can't-miss cities in Italy: https://t.co/GwJLQ0jOo0 https://t.co/JmDd5d49c6,4,6,20,1,2,7068
2024-03-20T15:10:03.000Z,['1770467846922948700'],1770467846922948700,What’s your most-visited destination?,2,17,9,2,0,13986
2024-03-20T11:29:37.000Z,['1770412375239245889'],1770412375239245889,"@SMClabby_DW Hi there, Simon! Thank you for bringing this to our attention. For us to further look into this, could you please tell us more about it and provide us with your business name and the email address associated with your account? We're here to help! https://t.co/hhUXi3qGfh",0,0,1,0,0,47
2024-03-19T21:00:14.000Z,['1770193587793236433'],1770193587793236433,Believe us when we say that taking a solo trip on an Alaskan cruise is something that should definitely be on your bucket list. https://t.co/PAPCIww7Ec https://t.co/1AqMHkh3nR,3,0,12,0,0,9396
2024-03-19T19:00:14.000Z,['1770163388032725283'],1770163388032725283,PSA: Beat the heat and the crowds in Positano—visit in April. https://t.co/FgwdVzDrS7 https://t.co/Qhqu52Zbl3,3,2,24,0,2,8063
2024-03-19T17:00:18.000Z,['1770133204705411501'],1770133204705411501,"REMINDER: Summer starts in 93 days, what are your travel goals for this summer?",2,2,8,2,0,11724
2024-03-19T16:00:30.000Z,['1770118155538469204'],1770118155538469204,2 perfect days in Myrtle Beach: https://t.co/MHuVOysf9z https://t.co/h9tKqmIQQj,8,2,17,1,0,7460
2024-03-18T21:00:12.000Z,['1769831189639053317'],1769831189639053317,POV: You finally planned that solo trip to Olympic National Park. https://t.co/zgdusaqLkx https://t.co/gSSvziu99n,5,1,20,0,2,11888
2024-03-18T19:00:19.000Z,['1769801020693967092'],1769801020693967092,"👋 Checking in from the best beach in the US 📍Ka'anapali Beach, Hawaii

More of the country's best beaches: https://t.co/Ox09cpATDi https://t.co/fh9b7TKl4o",9,7,21,0,1,10232
2024-03-18T16:04:08.000Z,['1769756683171983421'],1769756683171983421,The top 4 regions in Majorca you need to see: https://t.co/d6PwiqpILf https://t.co/rogUj8UpVh,0,6,9,0,1,8464
2024-03-18T15:02:02.000Z,['1769741053953790378'],1769741053953790378,The mid-March urge to plan a beach vacation,1,2,9,1,0,12601
2024-03-17T21:19:58.000Z,['1769473776075292802'],1769473776075292802,@BoyzModre Hi there! We’re so sorry to hear about this situation. Could you please DM us your booking confirmation number and the email address used to make the reservation? https://t.co/cmoPqUMg0x,0,1,0,0,0,26
2024-03-17T17:00:21.000Z,['1769408441628471442'],1769408441628471442,New bucket list item: See the aurora australis in person. Here's how: https://t.co/uAdxHa2ERt https://t.co/xMRZDyOBgb,1,2,31,0,0,12113
2024-03-17T14:30:11.000Z,['1769370653260443946'],1769370653260443946,6 of the best beach honeymoon destinations in the world: https://t.co/Yotpz8JuWO https://t.co/EsiWxdEk5e,3,8,11,0,0,13292
2024-03-17T01:41:29.000Z,['1769177202774450312'],1769177202774450312,"@Mo_Cain Hi there! We appreciate your feedback about rotating pictures, this has been forwarded to our relevant team for further review. Tripadvisor is constantly looking for new ideas to improve the site and any comments or suggestions are highly welcome. Thanks!",0,0,0,0,0,18
2024-03-16T17:30:04.000Z,['1769053531879743709'],1769053531879743709,Travel truth: Your gate at the airport will always be the furthest away.,8,5,44,2,0,20696
2024-03-16T16:06:48.000Z,['1769032577921249524'],1769032577921249524,"@Carlbike Hello Carl, we are happy to assist! Could you please DM us and confirm your email address, booking confirmation number and your the best contact phone number? Thank you. https://t.co/3ASWEVx1el",0,0,0,0,0,18
